skill_ID,skill
2c18fbad-870d-402c-956f-31315fd0b6a3,Python
af0e46da-02ae-4308-b553-dac29bd3ca08,PHP
9a37da97-5087-41b5-8fee-d7fe8eb29fd6,CSS
b8252b46-035b-41dc-a685-46acaacdc40a,java
7d23cf46-fde2-4f30-9ee8-168ea3dc2e4f,SEO
78216916-b828-45cd-abbb-7dd9bef52ead,Swift
72104cb9-9853-4430-be5f-ff9d57e988cc,Quantum Mechanics
f14b4dd1-7cda-4b15-a822-a95433bab49a,Data Analysis
3cf75130-e559-4c99-839f-59aafa9c1f80,Banking
cc31ebaa-ebea-4327-82ed-c79bc4210cea,Accounting
24535c55-0c0f-471c-85b1-b2c36e953a87,Forecasting
19e0ed7a-b86a-4c5c-ae71-7580eefbc92f,Presentation
46554d76-885e-428b-938d-dacbe70b8e46,SQL
1d19aee7-a9d8-499c-91ae-29df141d57a7,Database Management
